code,name,year,indicator,value
000988,华工科技,2019,ROE,1.74
000988,华工科技,2019,净利润率,1.1426
000988,华工科技,2019,营业收入增速,-8.9599
000988,华工科技,2019,资产负债率,31.557
000988,华工科技,2020,ROE,-0.19
000988,华工科技,2020,净利润率,-0.1613
000988,华工科技,2020,营业收入增速,-34.0426
000988,华工科技,2020,资产负债率,33.1232
000988,华工科技,2021,ROE,1.68
000988,华工科技,2021,净利润率,0.9954
000988,华工科技,2021,营业收入增速,135.5771
000988,华工科技,2021,资产负债率,40.3046
000988,华工科技,2022,ROE,2.97
000988,华工科技,2022,净利润率,1.5325
000988,华工科技,2022,营业收入增速,59.8063
000988,华工科技,2022,资产负债率,47.5861
000988,华工科技,2023,ROE,3.65
000988,华工科技,2023,净利润率,1.789
000988,华工科技,2023,营业收入增速,-6.7621
000988,华工科技,2023,资产负债率,51.9244
000988,华工科技,2024,ROE,3.07
000988,华工科技,2024,净利润率,1.6524
000988,华工科技,2024,营业收入增速,-18.5632
000988,华工科技,2024,资产负债率,46.1413
