code,name,year,indicator,value
603685,晨丰科技,2019,ROE,2.43
603685,晨丰科技,2019,净利润率,1.832
603685,晨丰科技,2019,营业收入增速,41.2016
603685,晨丰科技,2019,资产负债率,27.5286
603685,晨丰科技,2020,ROE,1.69
603685,晨丰科技,2020,净利润率,1.2407
603685,晨丰科技,2020,营业收入增速,-15.1055
603685,晨丰科技,2020,资产负债率,33.4527
603685,晨丰科技,2021,ROE,4.03
603685,晨丰科技,2021,净利润率,2.6189
603685,晨丰科技,2021,营业收入增速,72.7161
603685,晨丰科技,2021,资产负债率,40.4624
603685,晨丰科技,2022,ROE,0.46
603685,晨丰科技,2022,净利润率,0.0785
603685,晨丰科技,2022,营业收入增速,-18.3968
603685,晨丰科技,2022,资产负债率,49.2703
603685,晨丰科技,2023,ROE,0.35
603685,晨丰科技,2023,净利润率,0.0228
603685,晨丰科技,2023,营业收入增速,-16.7686
603685,晨丰科技,2023,资产负债率,49.3153
603685,晨丰科技,2024,ROE,0.27
603685,晨丰科技,2024,净利润率,0.0562
603685,晨丰科技,2024,营业收入增速,18.492
603685,晨丰科技,2024,资产负债率,65.1808
603319,美湖股份,2019,ROE,4.48
603319,美湖股份,2019,净利润率,2.3451
603319,美湖股份,2019,营业收入增速,16.6377
603319,美湖股份,2019,资产负债率,49.2986
603319,美湖股份,2020,ROE,4.23
603319,美湖股份,2020,净利润率,1.8834
603319,美湖股份,2020,营业收入增速,-6.8548
603319,美湖股份,2020,资产负债率,56.2222
603319,美湖股份,2021,ROE,3.39
603319,美湖股份,2021,净利润率,1.7529
603319,美湖股份,2021,营业收入增速,80.9572
603319,美湖股份,2021,资产负债率,45.9894
603319,美湖股份,2022,ROE,2.12
603319,美湖股份,2022,净利润率,1.1967
603319,美湖股份,2022,营业收入增速,-7.0869
603319,美湖股份,2022,资产负债率,44.2983
603319,美湖股份,2023,ROE,2.25
603319,美湖股份,2023,净利润率,1.3154
603319,美湖股份,2023,营业收入增速,1.8386
603319,美湖股份,2023,资产负债率,42.6465
603319,美湖股份,2024,ROE,2.55
603319,美湖股份,2024,净利润率,1.4945
603319,美湖股份,2024,营业收入增速,14.5895
603319,美湖股份,2024,资产负债率,40.6264
600519,贵州茅台,2019,ROE,9.05
600519,贵州茅台,2019,净利润率,7.4535
600519,贵州茅台,2019,营业收入增速,23.9196
600519,贵州茅台,2019,资产负债率,19.1172
600519,贵州茅台,2020,ROE,8.78
600519,贵州茅台,2020,净利润率,7.603
600519,贵州茅台,2020,营业收入增速,12.7582
600519,贵州茅台,2020,资产负债率,14.2546
600519,贵州茅台,2021,ROE,7.96
600519,贵州茅台,2021,净利润率,6.8929
600519,贵州茅台,2021,营业收入增速,11.7412
600519,贵州茅台,2021,资产负债率,15.2071
600519,贵州茅台,2022,ROE,8.34
600519,贵州茅台,2022,净利润率,7.0891
600519,贵州茅台,2022,营业收入增速,18.4258
600519,贵州茅台,2022,资产负债率,14.482
600519,贵州茅台,2023,ROE,9.53
600519,贵州茅台,2023,净利润率,8.3957
600519,贵州茅台,2023,营业收入增速,20.0028
600519,贵州茅台,2023,资产负债率,12.3562
600519,贵州茅台,2024,ROE,10.04
600519,贵州茅台,2024,净利润率,8.9148
600519,贵州茅台,2024,营业收入增速,18.1127
600519,贵州茅台,2024,资产负债率,12.9543
601288,农业银行,2019,ROE,3.54
601288,农业银行,2019,净利润率,0.2685
601288,农业银行,2019,营业收入增速,
601288,农业银行,2019,资产负债率,92.6557
601288,农业银行,2020,ROE,3.18
601288,农业银行,2020,净利润率,0.2519
601288,农业银行,2020,营业收入增速,
601288,农业银行,2020,资产负债率,92.2489
601288,农业银行,2021,ROE,2.91
601288,农业银行,2021,净利润率,0.2374
601288,农业银行,2021,营业收入增速,
601288,农业银行,2021,资产负债率,92.0469
601288,农业银行,2022,ROE,2.8
601288,农业银行,2022,净利润率,0.2356
601288,农业银行,2022,营业收入增速,
601288,农业银行,2022,资产负债率,91.7955
601288,农业银行,2023,ROE,2.62
601288,农业银行,2023,净利润率,0.2039
601288,农业银行,2023,营业收入增速,
601288,农业银行,2023,资产负债率,92.5752
601288,农业银行,2024,ROE,2.35
601288,农业银行,2024,净利润率,0.1727
601288,农业银行,2024,营业收入增速,
601288,农业银行,2024,资产负债率,92.8856
601166,兴业银行,2019,ROE,4.08
601166,兴业银行,2019,净利润率,0.2951
601166,兴业银行,2019,营业收入增速,
601166,兴业银行,2019,资产负债率,92.715
601166,兴业银行,2020,ROE,3.73
601166,兴业银行,2020,净利润率,0.2906
601166,兴业银行,2020,营业收入增速,
601166,兴业银行,2020,资产负债率,92.2883
601166,兴业银行,2021,ROE,3.73
601166,兴业银行,2021,净利润率,0.3031
601166,兴业银行,2021,营业收入增速,
601166,兴业银行,2021,资产负债率,91.8723
601166,兴业银行,2022,ROE,3.88
601166,兴业银行,2022,净利润率,0.3171
601166,兴业银行,2022,营业收入增速,
601166,兴业银行,2022,资产负债率,91.8261
601166,兴业银行,2023,ROE,3.25
601166,兴业银行,2023,净利润率,0.2655
601166,兴业银行,2023,营业收入增速,
601166,兴业银行,2023,资产负债率,92.0258
601166,兴业银行,2024,ROE,2.96
601166,兴业银行,2024,净利润率,0.2379
601166,兴业银行,2024,营业收入增速,
601166,兴业银行,2024,资产负债率,91.8772
600048,保利发展,2019,ROE,1.87
600048,保利发展,2019,净利润率,0.3826
600048,保利发展,2019,营业收入增速,12.1867
600048,保利发展,2019,资产负债率,78.9436
600048,保利发展,2020,ROE,1.48
600048,保利发展,2020,净利润率,0.345
600048,保利发展,2020,营业收入增速,5.5149
600048,保利发展,2020,资产负债率,77.72
600048,保利发展,2021,ROE,1.37
600048,保利发展,2021,净利润率,0.2991
600048,保利发展,2021,营业收入增速,5.1698
600048,保利发展,2021,资产负债率,78.6575
600048,保利发展,2022,ROE,1.28
600048,保利发展,2022,净利润率,0.2732
600048,保利发展,2022,营业收入增速,33.8543
600048,保利发展,2022,资产负债率,78.1867
600048,保利发展,2023,ROE,1.37
600048,保利发展,2023,净利润率,0.2718
600048,保利发展,2023,营业收入增速,19.14
