code,name,year,indicator,value
603685,晨丰科技,2020,ROE,9.45
603685,晨丰科技,2021,ROE,8.61
603685,晨丰科技,2022,ROE,-3.69
603685,晨丰科技,2023,ROE,7.14
603685,晨丰科技,2024,ROE,0.96
603685,晨丰科技,2020,净利润率,6.6092
603685,晨丰科技,2021,净利润率,5.1143
603685,晨丰科技,2022,净利润率,-2.5371
603685,晨丰科技,2023,净利润率,2.6862
603685,晨丰科技,2024,净利润率,0.1101
603685,晨丰科技,2020,资产负债率,37.3956
603685,晨丰科技,2021,资产负债率,51.2237
603685,晨丰科技,2022,资产负债率,48.929
603685,晨丰科技,2023,资产负债率,64.623
603685,晨丰科技,2024,资产负债率,67.5713
603319,美湖股份,2020,ROE,12.81
603319,美湖股份,2021,ROE,13.19
603319,美湖股份,2022,ROE,10.87
603319,美湖股份,2023,ROE,12.54
603319,美湖股份,2024,ROE,7.95
603319,美湖股份,2020,净利润率,8.0089
603319,美湖股份,2021,净利润率,7.5101
603319,美湖股份,2022,净利润率,6.469
603319,美湖股份,2023,净利润率,7.4647
603319,美湖股份,2024,净利润率,4.8131
603319,美湖股份,2020,资产负债率,44.9737
603319,美湖股份,2021,资产负债率,44.2882
603319,美湖股份,2022,资产负债率,42.8755
603319,美湖股份,2023,资产负债率,41.8555
603319,美湖股份,2024,资产负债率,45.5929
600519,贵州茅台,2020,ROE,28.95
600519,贵州茅台,2021,ROE,27.68
600519,贵州茅台,2022,ROE,31.75
600519,贵州茅台,2023,ROE,34.65
600519,贵州茅台,2024,ROE,36.99
600519,贵州茅台,2020,净利润率,24.9841
600519,贵州茅台,2021,净利润率,23.7835
600519,贵州茅台,2022,净利润率,25.6608
600519,贵州茅台,2023,净利润率,29.4163
600519,贵州茅台,2024,净利润率,31.2554
600519,贵州茅台,2020,资产负债率,21.4039
600519,贵州茅台,2021,资产负债率,22.8127
600519,贵州茅台,2022,资产负债率,19.421
600519,贵州茅台,2023,资产负债率,17.9843
600519,贵州茅台,2024,资产负债率,19.0448
601288,农业银行,2020,ROE,9.79
601288,农业银行,2021,ROE,9.99
601288,农业银行,2022,ROE,9.71
601288,农业银行,2023,ROE,9.32
601288,农业银行,2024,ROE,9.13
601288,农业银行,2020,净利润率,0.831
601288,农业银行,2021,净利润率,0.8598
601288,农业银行,2022,净利润率,0.8213
601288,农业银行,2023,净利润率,0.7312
601288,农业银行,2024,净利润率,0.6802
601288,农业银行,2020,资产负债率,91.8738
601288,农业银行,2021,资产负债率,91.6703
601288,农业银行,2022,资产负债率,92.1172
601288,农业银行,2023,资产负债率,92.7348
601288,农业银行,2024,资产负债率,92.8367
601166,兴业银行,2020,ROE,10.82
601166,兴业银行,2021,ROE,12.09
601166,兴业银行,2022,ROE,12.25
601166,兴业银行,2023,ROE,9.69
601166,兴业银行,2024,ROE,8.75
601166,兴业银行,2020,净利润率,0.9
601166,兴业银行,2021,净利润率,1.0161
601166,兴业银行,2022,净利润率,1.0343
601166,兴业银行,2023,净利润率,0.7995
601166,兴业银行,2024,净利润率,0.7499
601166,兴业银行,2020,资产负债率,92.0851
601166,兴业银行,2021,资产负债率,91.9296
601166,兴业银行,2022,资产负债率,91.8277
601166,兴业银行,2023,资产负债率,92.0487
601166,兴业银行,2024,资产负债率,91.4958
600048,保利发展,2020,ROE,16.06
600048,保利发展,2021,ROE,14.0
600048,保利发展,2022,ROE,9.35
600048,保利发展,2023,ROE,6.08
