date,open,close,high,low,volume
2020-01-01,5306.67,5366.14,5374.91,5288.17,14589.44
2020-01-02,5306.67,5366.14,5374.91,5288.17,14589.44
2020-01-03,5376.03,5380.64,5395.26,5351.8,12845.2
2020-01-06,5365.22,5434.85,5481.55,5355.02,15958.74
2020-01-07,5441.9,5499.84,5499.84,5440.69,14414.27
2020-01-08,5481.98,5423.8,5500.16,5409.57,15540.68
2020-01-09,5465.86,5497.54,5497.54,5457.35,13243.17
2020-01-10,5511.67,5480.23,5516.09,5455.25,11381.98
2020-01-13,5478.32,5559.63,5559.63,5447.73,11807.62
2020-01-14,5576.63,5542.33,5583.72,5539.9,12981.14
2020-01-15,5532.96,5530.03,5545.1,5492.65,11242.5
2020-01-16,5539.42,5527.67,5559.02,5514.69,11189.73
2020-01-17,5539.72,5510.05,5555.41,5499.47,10494.93
2020-01-20,5523.01,5587.54,5587.54,5500.59,11540.3
2020-01-21,5581.01,5523.94,5581.98,5515.19,12460.48
2020-01-22,5502.59,5575.51,5597.99,5440.2,12347.48
2020-01-23,5521.79,5377.74,5558.43,5326.93,14577.31
2020-02-03,4896.89,4910.9,4960.75,4896.89,8177.71
2020-02-04,4736.12,4996.47,5013.77,4736.12,18967.23
2020-02-05,5035.41,5123.96,5178.44,5026.41,17109.53
2020-02-06,5128.19,5282.89,5299.18,5100.48,18595.75
2020-02-07,5287.27,5327.04,5329.36,5226.7,19114.76
2020-02-10,5322.01,5388.43,5389.04,5301.41,17670.33
2020-02-11,5390.53,5361.28,5396.96,5323.76,15250.82
2020-02-12,5345.52,5459.95,5461.67,5340.49,15104.15
2020-02-13,5456.66,5412.84,5482.8,5397.23,15820.26
2020-02-14,5407.47,5420.8,5474.47,5375.93,14534.65
2020-02-17,5454.46,5594.44,5594.44,5454.46,17463.67
2020-02-18,5607.84,5660.81,5660.81,5577.9,18509.87
2020-02-19,5654.18,5603.26,5678.82,5601.39,18564.21
2020-02-20,5619.52,5706.71,5712.18,5580.07,19207.6
2020-02-21,5704.84,5784.03,5822.4,5700.95,20723.62
2020-02-24,5784.58,5865.47,5884.14,5754.68,21809.9
2020-02-25,5745.62,5897.72,5912.27,5643.88,26736.67
2020-02-26,5824.05,5743.39,5885.27,5724.5,26637.51
2020-02-27,5770.22,5753.73,5829.04,5689.54,20469.49
2020-02-28,5558.42,5451.29,5641.77,5438.85,22430.67
2020-03-02,5516.44,5656.42,5683.24,5505.27,19951.16
2020-03-03,5756.79,5710.02,5832.35,5658.12,22632.55
2020-03-04,5670.5,5716.51,5719.18,5603.93,18513.31
2020-03-05,5795.25,5801.12,5811.21,5732.17,21723.22
2020-03-06,5737.1,5763.86,5802.63,5723.73,18529.71
2020-03-09,5668.64,5525.82,5699.92,5525.82,21853.81
2020-03-10,5459.17,5675.11,5675.88,5423.43,20840.29
2020-03-11,5692.72,5589.53,5708.92,5589.53,18775.09
2020-03-12,5507.32,5493.88,5549.35,5446.79,15875.32
2020-03-13,5225.51,5457.2,5507.39,5224.73,19526.67
2020-03-16,5496.89,5200.11,5496.89,5183.34,18685.0
2020-03-17,5245.52,5212.06,5300.56,5052.65,15913.79
2020-03-18,5257.94,5119.47,5333.12,5119.47,16428.66
2020-03-19,5119.94,5157.82,5185.09,5020.44,15459.37
2020-03-20,5217.49,5219.28,5225.03,5129.07,12751.33
2020-03-23,5079.35,4998.91,5129.14,4981.67,13868.47
2020-03-24,5089.15,5096.04,5118.04,4963.29,14078.77
2020-03-25,5200.78,5217.42,5229.22,5160.39,14688.11
2020-03-26,5180.47,5166.11,5227.47,5157.15,12565.25
2020-03-27,5222.85,5137.34,5227.79,5134.49,11704.51
2020-03-30,5073.7,5027.49,5074.63,4974.32,12398.13
2020-03-31,5073.52,5041.45,5090.57,5030.57,11160.56
2020-04-01,5029.58,5019.22,5108.18,5007.71,11215.41
2020-04-02,4998.63,5147.2,5147.2,4998.11,11335.11
2020-04-03,5143.52,5107.04,5161.57,5085.09,10947.9
2020-04-07,5202.55,5267.07,5273.09,5197.58,14510.95
2020-04-08,5243.16,5271.8,5291.41,5232.62,13778.63
2020-04-09,5301.27,5322.46,5336.12,5289.38,12509.85
2020-04-10,5321.79,5208.51,5321.79,5197.98,12381.64
2020-04-13,5176.44,5169.18,5198.37,5140.85,9818.1
2020-04-14,5197.17,5288.59,5288.59,5189.82,11018.82
2020-04-15,5291.97,5268.75,5320.58,5264.01,12247.74
2020-04-16,5245.92,5316.97,5328.12,5238.43,12074.22
2020-04-17,5354.98,5318.45,5377.15,5309.58,13696.98
2020-04-20,5329.87,5381.79,5381.79,5311.2,12064.22
2020-04-21,5358.6,5343.88,5358.6,5287.66,13074.44
2020-04-22,5304.73,5387.62,5388.21,5296.26,12359.7
2020-04-23,5402.65,5357.79,5407.49,5354.94,14461.83
2020-04-24,5350.54,5273.55,5354.76,5258.57,13138.34
2020-04-27,5278.98,5265.72,5314.41,5249.31,11713.24
2020-04-28,5268.13,5227.85,5273.26,5102.06,14082.49
2020-04-29,5203.71,5226.81,5269.74,5201.47,10592.68
2020-04-30,5261.05,5353.86,5368.89,5261.05,13303.67
2020-05-06,5320.94,5451.32,5451.46,5318.44,14167.91
2020-05-07,5454.25,5445.75,5473.77,5425.8,14014.64
2020-05-08,5474.87,5507.7,5527.09,5467.65,13631.86
2020-05-11,5529.11,5496.19,5547.94,5466.62,12985.2
2020-05-12,5494.07,5512.46,5519.29,5441.7,11594.37
2020-05-13,5495.9,5536.28,5546.55,5483.99,10789.58
2020-05-14,5513.08,5487.11,5528.09,5485.02,11919.77
2020-05-15,5510.15,5507.93,5543.93,5486.26,11265.15
2020-05-18,5522.72,5478.82,5528.78,5454.96,13365.47
2020-05-19,5515.03,5547.88,5548.22,5504.23,11200.89
2020-05-20,5545.04,5489.7,5547.17,5473.79,12349.13
2020-05-21,5508.2,5426.17,5511.23,5415.6,11455.91
2020-05-22,5421.73,5328.23,5421.89,5307.3,10641.57
2020-05-25,5323.97,5316.6,5344.28,5293.23,8438.57
2020-05-26,5341.11,5420.21,5421.9,5341.08,9096.9
2020-05-27,5426.56,5369.5,5426.56,5358.47,10396.04
2020-05-28,5367.27,5361.17,5390.14,5290.29,10252.43
2020-05-29,5349.57,5406.34,5416.66,5336.07,10500.33
2020-06-01,5446.29,5569.48,5576.65,5446.29,14169.76
2020-06-02,5595.36,5566.44,5596.44,5544.19,13902.91
2020-06-03,5583.7,5572.31,5618.29,5567.07,13834.55
2020-06-04,5589.34,5576.75,5597.26,5549.36,12077.85
2020-06-05,5585.16,5585.42,5592.35,5542.87,11225.39
2020-06-08,5618.38,5575.3,5627.19,5567.21,11944.62
2020-06-09,5582.14,5610.38,5616.04,5560.14,11487.09
2020-06-10,5611.66,5615.24,5616.61,5581.92,10836.81
2020-06-11,5618.64,5589.1,5673.31,5567.54,12751.55
2020-06-12,5483.78,5591.49,5620.21,5479.27,12954.55
2020-06-15,5605.88,5590.64,5661.97,5590.64,14535.98
2020-06-16,5633.26,5695.3,5695.3,5624.85,13395.17
2020-06-17,5708.69,5735.42,5735.42,5685.62,14683.75
2020-06-18,5738.03,5734.4,5744.45,5705.3,15815.44
2020-06-19,5733.43,5787.15,5796.36,5727.62,14176.81
2020-06-22,5793.79,5784.03,5815.39,5770.81,14539.23
2020-06-23,5783.12,5804.34,5809.28,5755.4,12574.81
2020-06-24,5808.54,5789.09,5824.31,5773.29,11024.14
2020-06-29,5774.46,5762.44,5789.16,5740.26,11776.12
2020-06-30,5790.06,5864.42,5875.33,5788.21,11535.03
2020-07-01,5884.54,5881.89,5885.87,5814.76,14283.3
2020-07-02,5880.88,5975.28,5979.99,5858.57,20118.14
2020-07-03,5990.0,6051.51,6052.52,5968.07,22682.68
