date,open,close,high,low,volume,amount,code,name
2020-01-02,296.32,296.69,301.44,292.39,100309,395639856.0,002179,中航光电
2020-01-03,297.06,299.22,300.7,296.4,80092,318217328.0,002179,中航光电
2020-01-06,301.51,304.18,308.11,297.81,112702,455905520.0,002179,中航光电
2020-01-07,305.52,301.37,306.33,299.29,80024,320494720.0,002179,中航光电
2020-01-08,305.0,299.29,307.22,299.29,97920,394329536.0,002179,中航光电
2020-01-09,299.29,298.4,299.51,294.1,97850,386008320.0,002179,中航光电
2020-01-10,298.55,296.47,299.29,294.47,64985,255889263.0,002179,中航光电
2020-01-13,294.84,296.55,297.29,290.84,71196,278940016.0,002179,中航光电
2020-01-14,297.73,295.36,299.96,294.77,72142,285082416.0,002179,中航光电
2020-01-15,295.29,294.02,295.43,291.87,56937,222079452.0,002179,中航光电
2020-01-16,294.84,291.87,295.14,291.5,62858,244505675.0,002179,中航光电
2020-01-17,293.06,290.54,293.28,289.28,54993,212794492.0,002179,中航光电
2020-01-20,291.58,292.1,293.13,290.47,57914,224517812.0,002179,中航光电
2020-01-21,291.73,291.28,295.8,290.47,66701,259630127.0,002179,中航光电
2020-01-22,289.95,291.36,293.06,287.5,63196,243881367.0,002179,中航光电
2020-01-23,291.73,281.27,292.91,277.79,101616,384154800.0,002179,中航光电
2020-02-03,253.54,264.22,266.52,253.54,192103,664971984.0,002179,中航光电
2020-02-04,266.37,268.74,274.45,264.44,122687,436529872.0,002179,中航光电
2020-02-05,268.74,270.59,274.75,268.15,77759,279977440.0,002179,中航光电
2020-02-06,271.11,277.04,279.19,268.22,81465,297137920.0,002179,中航光电
2020-02-07,276.01,273.56,276.01,270.0,76052,275627296.0,002179,中航光电
2020-02-10,273.26,270.0,273.26,267.41,95540,341597168.0,002179,中航光电
2020-02-11,270.07,273.56,274.45,270.07,68531,248176792.0,002179,中航光电
2020-02-12,272.22,274.08,274.08,270.37,51930,188174669.0,002179,中航光电
2020-02-13,273.93,271.56,276.82,271.19,75346,273581328.0,002179,中航光电
2020-02-14,271.56,272.37,273.93,269.63,62015,223840815.0,002179,中航光电
2020-02-17,271.93,285.57,287.13,271.63,147221,554073088.0,002179,中航光电
2020-02-18,286.61,292.76,296.25,286.61,149743,582373936.0,002179,中航光电
2020-02-19,289.72,291.5,296.17,287.5,95894,373214368.0,002179,中航光电
2020-02-20,291.87,292.91,294.32,288.02,97664,378504896.0,002179,中航光电
2020-02-21,294.84,297.88,299.07,293.36,108118,426668736.0,002179,中航光电
2020-02-24,298.55,307.52,311.23,298.55,180489,735719168.0,002179,中航光电
2020-02-25,300.77,307.37,311.15,299.36,123589,501916896.0,002179,中航光电
2020-02-26,304.41,307.15,315.01,301.07,147034,602335536.0,002179,中航光电
2020-02-27,305.81,307.45,310.56,303.37,103786,424437760.0,002179,中航光电
2020-02-28,294.84,295.51,308.19,293.58,140096,561631712.0,002179,中航光电
2020-03-02,300.77,295.29,303.0,291.36,145736,571388272.0,002179,中航光电
2020-03-03,298.55,297.36,306.33,294.84,147700,590694544.0,002179,中航光电
2020-03-04,294.1,293.43,300.4,291.13,119656,469407328.0,002179,中航光电
2020-03-05,297.44,296.47,300.62,294.17,89911,354890208.0,002179,中航光电
2020-03-06,293.36,293.88,296.92,292.32,76445,299335792.0,002179,中航光电
2020-03-09,291.36,282.23,292.25,281.79,138872,527170624.0,002179,中航光电
2020-03-10,280.75,286.76,288.76,278.53,81527,308718016.0,002179,中航光电
2020-03-11,287.43,286.98,295.21,286.98,96666,373879888.0,002179,中航光电
2020-03-12,283.72,284.31,287.43,281.79,73669,278577584.0,002179,中航光电
2020-03-13,278.82,283.2,288.39,273.78,94818,353886800.0,002179,中航光电
2020-03-16,283.2,278.6,289.65,276.15,110707,417124304.0,002179,中航光电
2020-03-17,280.75,276.15,283.35,273.41,81966,301315152.0,002179,中航光电
2020-03-18,276.23,265.4,279.57,262.81,104690,378024208.0,002179,中航光电
2020-03-19,264.74,263.85,270.37,259.69,158613,555406896.0,002179,中航光电
2020-03-20,261.47,254.95,267.63,254.8,126843,434515808.0,002179,中航光电
2020-03-23,249.46,247.39,251.54,242.64,114116,373242816.0,002179,中航光电
2020-03-24,250.13,250.5,252.58,245.53,69137,228270491.0,002179,中航光电
2020-03-25,256.21,251.31,257.25,250.5,135659,454980576.0,002179,中航光电
2020-03-26,250.94,252.72,256.65,248.13,71276,239632334.0,002179,中航光电
2020-03-27,256.28,263.99,267.03,255.76,113080,394222544.0,002179,中航光电
2020-03-30,261.47,259.03,266.29,256.88,77751,268728928.0,002179,中航光电
2020-03-31,261.55,257.77,263.03,255.02,71677,244675480.0,002179,中航光电
2020-04-01,257.62,256.28,259.62,255.84,56932,194374880.0,002179,中航光电
2020-04-02,256.21,256.28,256.28,250.57,76010,255303984.0,002179,中航光电
2020-04-03,257.1,256.65,259.25,255.1,56147,191407593.0,002179,中航光电
2020-04-07,260.73,267.03,267.41,260.73,97895,344681056.0,002179,中航光电
2020-04-08,266.66,265.63,267.78,262.66,56095,197408966.0,002179,中航光电
2020-04-09,267.63,263.25,269.11,262.59,53745,189316621.0,002179,中航光电
2020-04-10,263.4,260.66,264.44,256.65,63180,218402403.0,002179,中航光电
2020-04-13,257.77,258.8,261.1,254.8,55056,188317176.0,002179,中航光电
2020-04-14,260.95,257.4,260.95,254.87,92930,315464048.0,002179,中航光电
2020-04-15,257.25,253.84,257.47,253.84,74433,252448768.0,002179,中航光电
