date,open,close,high,low,volume,amount,amount
2020-01-02,5.8,5.83,5.86,5.79,205512470.0,766905878.0,294055293904.0
2020-01-03,5.85,5.82,5.85,5.8,111814276.0,416711492.0,294055293904.0
2020-01-06,5.8,5.77,5.82,5.74,251080218.0,928482812.0,294055293904.0
2020-01-07,5.77,5.82,5.86,5.75,291294955.0,1084517480.0,294055293904.0
2020-01-08,5.8,5.77,5.82,5.75,168214884.0,621621269.0,294055293904.0
2020-01-09,5.79,5.75,5.8,5.74,129099347.0,476337098.0,294055293904.0
2020-01-10,5.77,5.75,5.79,5.74,102724818.0,378111731.0,294055293904.0
2020-01-13,5.75,5.75,5.75,5.71,166226509.0,608708756.0,294055293904.0
2020-01-14,5.75,5.75,5.77,5.74,131418569.0,483396754.0,294055293904.0
2020-01-15,5.74,5.71,5.75,5.71,103306490.0,377725946.0,294055293904.0
2020-01-16,5.72,5.65,5.72,5.65,182015981.0,660037502.0,294055293904.0
2020-01-17,5.65,5.66,5.69,5.63,99263777.0,359412850.0,294055293904.0
2020-01-20,5.66,5.66,5.68,5.65,87250009.0,315896931.0,294055293904.0
2020-01-21,5.66,5.6,5.66,5.58,195067423.0,700428526.0,294055293904.0
2020-01-22,5.58,5.58,5.6,5.54,178800980.0,637001446.0,294055293904.0
2020-01-23,5.57,5.5,5.57,5.49,243127436.0,857675293.0,294055293904.0
2020-02-03,5.16,5.27,5.32,5.11,477726568.0,1595441033.0,294055293904.0
2020-02-04,5.24,5.35,5.36,5.24,321948123.0,1090924298.0,294055293904.0
2020-02-05,5.35,5.35,5.38,5.3,248194123.0,848611553.0,294055293904.0
2020-02-06,5.36,5.36,5.38,5.32,191076262.0,653402516.0,294055293904.0
2020-02-07,5.33,5.32,5.33,5.29,199168477.0,675907245.0,294055293904.0
2020-02-10,5.29,5.3,5.32,5.27,158609776.0,537274726.0,294055293904.0
2020-02-11,5.32,5.35,5.36,5.3,179148338.0,611598369.0,294055293904.0
2020-02-12,5.35,5.36,5.36,5.32,123211353.0,421327484.0,294055293904.0
2020-02-13,5.36,5.33,5.36,5.32,123277241.0,421511186.0,294055293904.0
2020-02-14,5.32,5.36,5.36,5.32,112313558.0,384310498.0,294055293904.0
2020-02-17,5.35,5.43,5.44,5.35,189505766.0,654233739.0,294055293904.0
2020-02-18,5.41,5.39,5.43,5.38,159354952.0,550310896.0,294055293904.0
2020-02-19,5.39,5.44,5.46,5.38,158263116.0,549791442.0,294055293904.0
2020-02-20,5.44,5.49,5.49,5.41,199422933.0,694356259.0,294055293904.0
2020-02-21,5.46,5.46,5.49,5.44,143243525.0,500496622.0,294055293904.0
2020-02-24,5.44,5.41,5.47,5.41,186010540.0,646737000.0,294055293904.0
2020-02-25,5.38,5.36,5.38,5.35,210579001.0,722304368.0,294055293904.0
2020-02-26,5.33,5.39,5.41,5.32,218918963.0,751298878.0,294055293904.0
2020-02-27,5.38,5.41,5.43,5.38,170022334.0,587500586.0,294055293904.0
2020-02-28,5.38,5.33,5.44,5.33,253585883.0,873845647.0,294055293904.0
2020-03-02,5.35,5.41,5.43,5.35,181282521.0,625109750.0,294055293904.0
2020-03-03,5.43,5.44,5.46,5.41,190756755.0,663521382.0,294055293904.0
2020-03-04,5.44,5.46,5.47,5.43,140680791.0,490358167.0,294055293904.0
2020-03-05,5.46,5.5,5.52,5.46,229182326.0,805454594.0,294055293904.0
2020-03-06,5.49,5.47,5.5,5.44,151993255.0,531961833.0,294055293904.0
2020-03-09,5.43,5.36,5.43,5.35,282171772.0,969290056.0,294055293904.0
2020-03-10,5.33,5.41,5.43,5.33,207809322.0,717049480.0,294055293904.0
2020-03-11,5.43,5.36,5.43,5.36,158365714.0,546167911.0,294055293904.0
2020-03-12,5.35,5.36,5.38,5.32,185871971.0,635881206.0,294055293904.0
2020-03-13,5.29,5.32,5.36,5.24,290398330.0,982450803.0,294055293904.0
2020-03-16,5.33,5.27,5.36,5.27,259602687.0,882059711.0,294055293904.0
2020-03-17,5.27,5.32,5.35,5.25,279297235.0,947833294.0,294055293904.0
2020-03-18,5.32,5.25,5.33,5.24,214330968.0,724544442.0,294055293904.0
2020-03-19,5.24,5.18,5.29,5.16,253594646.0,844013965.0,294055293904.0
2020-03-20,5.21,5.22,5.27,5.18,245826690.0,819868368.0,294055293904.0
2020-03-23,5.18,5.13,5.18,5.13,176363185.0,580377844.0,294055293904.0
2020-03-24,5.18,5.24,5.24,5.16,213795149.0,710821941.0,294055293904.0
2020-03-25,5.29,5.27,5.3,5.24,167423154.0,564134458.0,294055293904.0
2020-03-26,5.24,5.27,5.3,5.22,135757601.0,456921085.0,294055293904.0
2020-03-27,5.3,5.3,5.35,5.27,168381375.0,572400859.0,294055293904.0
2020-03-30,5.27,5.33,5.33,5.25,218104609.0,741562654.0,294055293904.0
2020-03-31,5.35,5.27,5.36,5.24,165190034.0,560225312.0,294055293904.0
2020-04-01,5.27,5.29,5.33,5.27,111666535.0,378709988.0,294055293904.0
2020-04-02,5.27,5.32,5.32,5.25,104786774.0,354395711.0,294055293904.0
2020-04-03,5.3,5.32,5.33,5.29,115780429.0,393195603.0,294055293904.0
2020-04-07,5.36,5.35,5.36,5.33,122096677.0,417633426.0,294055293904.0
2020-04-08,5.33,5.32,5.33,5.3,96615864.0,328551720.0,294055293904.0
2020-04-09,5.33,5.32,5.35,5.3,72232000.0,246074441.0,294055293904.0
2020-04-10,5.33,5.33,5.33,5.3,90758039.0,308890893.0,294055293904.0
2020-04-13,5.32,5.32,5.35,5.3,92047901.0,313557115.0,294055293904.0
2020-04-14,5.33,5.35,5.35,5.32,83178366.0,283848143.0,294055293904.0
2020-04-15,5.33,5.35,5.35,5.33,86267240.0,294681019.0,294055293904.0
2020-04-16,5.32,5.36,5.38,5.32,106371186.0,364102590.0,294055293904.0
2020-04-17,5.38,5.38,5.38,5.35,123078194.0,422558249.0,294055293904.0
2020-04-20,5.36,5.35,5.38,5.35,112027490.0,383753286.0,294055293904.0
2020-04-21,5.33,5.33,5.35,5.32,103995997.0,354646092.0,294055293904.0
2020-04-22,5.33,5.35,5.36,5.32,84810504.0,289662295.0,294055293904.0
2020-04-23,5.35,5.32,5.35,5.29,117940836.0,401006107.0,294055293904.0
2020-04-24,5.32,5.32,5.32,5.29,61244538.0,207830195.0,294055293904.0
2020-04-27,5.3,5.33,5.36,5.3,137867838.0,470462195.0,294055293904.0
2020-04-28,5.33,5.32,5.33,5.29,122904867.0,417684598.0,294055293904.0
2020-04-29,5.33,5.38,5.38,5.32,144993202.0,496514820.0,294055293904.0
2020-04-30,5.39,5.41,5.43,5.38,118473509.0,409683816.0,294055293904.0
2020-05-06,5.35,5.35,5.36,5.32,226361303.0,772368083.0,294055293904.0
2020-05-07,5.33,5.33,5.35,5.32,131475071.0,447967324.0,294055293904.0
2020-05-08,5.35,5.35,5.35,5.32,134273116.0,458120130.0,294055293904.0
2020-05-11,5.35,5.35,5.36,5.32,131582721.0,450101014.0,294055293904.0
2020-05-12,5.35,5.33,5.36,5.33,78839002.0,269083214.0,294055293904.0
2020-05-13,5.33,5.33,5.33,5.32,69012112.0,234943045.0,294055293904.0
2020-05-14,5.32,5.3,5.33,5.3,79468142.0,269921486.0,294055293904.0
2020-05-15,5.32,5.3,5.32,5.3,93688825.0,317917521.0,294055293904.0
2020-05-18,5.3,5.3,5.32,5.29,96288527.0,326556313.0,294055293904.0
2020-05-19,5.32,5.32,5.33,5.3,89759979.0,304941062.0,294055293904.0
2020-05-20,5.32,5.33,5.33,5.3,96843403.0,329110650.0,294055293904.0
2020-05-21,5.33,5.32,5.33,5.3,82631670.0,281045009.0,294055293904.0
2020-05-22,5.32,5.27,5.32,5.27,127162933.0,430605905.0,294055293904.0
2020-05-25,5.29,5.3,5.3,5.27,70311257.0,237553638.0,294055293904.0
2020-05-26,5.3,5.29,5.3,5.29,83279123.0,281915956.0,294055293904.0
2020-05-27,5.3,5.32,5.33,5.29,103589163.0,351900045.0,294055293904.0
2020-05-28,5.33,5.36,5.36,5.32,162505708.0,555961358.0,294055293904.0
2020-05-29,5.35,5.32,5.36,5.32,106125618.0,361974826.0,294055293904.0
2020-06-01,5.33,5.35,5.36,5.32,109345482.0,374091110.0,294055293904.0
2020-06-02,5.35,5.36,5.36,5.33,90373963.0,309272978.0,294055293904.0
2020-06-03,5.36,5.35,5.39,5.35,148983016.0,511561100.0,294055293904.0
2020-06-04,5.36,5.33,5.38,5.33,98478704.0,336384861.0,294055293904.0
2020-06-05,5.35,5.35,5.35,5.33,73067661.0,249401187.0,294055293904.0
2020-06-08,5.33,5.33,5.35,5.32,117445201.0,400272454.0,294055293904.0
2020-06-09,5.33,5.35,5.35,5.32,147120706.0,502056927.0,294055293904.0
2020-06-10,5.35,5.32,5.35,5.32,107119972.0,364829390.0,294055293904.0
2020-06-11,5.32,5.29,5.33,5.29,184507195.0,625612582.0,294055293904.0
2020-06-12,5.27,5.29,5.29,5.25,300063791.0,1010857257.0,294055293904.0
2020-06-15,5.25,5.21,5.27,5.21,234611693.0,785210857.0,294055293904.0
2020-06-16,5.24,5.24,5.25,5.22,133918000.0,448360212.0,294055293904.0
2020-06-17,5.24,5.25,5.25,5.22,90960316.0,304841342.0,294055293904.0
2020-06-18,5.24,5.24,5.25,5.21,168454316.0,564152597.0,294055293904.0
2020-06-19,5.24,5.24,5.25,5.22,201198910.0,674556626.0,294055293904.0
2020-06-22,5.24,5.25,5.27,5.22,199926753.0,670955061.0,294055293904.0
2020-06-23,5.24,5.24,5.25,5.22,122107607.0,409165849.0,294055293904.0
2020-06-24,5.25,5.27,5.29,5.24,171274838.0,575751018.0,294055293904.0
2020-06-29,5.27,5.27,5.29,5.24,164591544.0,553830166.0,294055293904.0
2020-06-30,5.27,5.29,5.29,5.25,152992065.0,516158076.0,294055293904.0
2020-07-01,5.29,5.3,5.32,5.27,179974646.0,608516221.0,294055293904.0
2020-07-02,5.3,5.39,5.39,5.29,327696423.0,1119935745.0,294055293904.0
2020-07-03,5.39,5.49,5.49,5.39,371692267.0,1297519102.0,294055293904.0
2020-07-06,5.52,5.88,5.91,5.5,692382560.0,2536366328.0,294055293904.0
2020-07-07,5.94,5.83,6.04,5.82,501185052.0,1890890092.0,294055293904.0
2020-07-08,5.82,5.8,5.88,5.77,461270911.0,1716524658.0,294055293904.0
2020-07-09,5.8,5.69,5.82,5.68,531172647.0,1941304587.0,294055293904.0
2020-07-10,5.71,5.53,5.73,5.53,548927959.0,1871966253.0,294055293904.0
2020-07-13,5.51,5.51,5.56,5.48,629893377.0,2109860548.0,294055293904.0
2020-07-14,5.5,5.45,5.51,5.43,451347504.0,1500919718.0,294055293904.0
2020-07-15,5.46,5.4,5.48,5.4,405786647.0,1337402699.0,294055293904.0
2020-07-16,5.42,5.38,5.45,5.37,395619375.0,1301205782.0,294055293904.0
2020-07-17,5.4,5.4,5.42,5.37,242578693.0,793969981.0,294055293904.0
2020-07-20,5.4,5.46,5.48,5.38,350214702.0,1157688889.0,294055293904.0
2020-07-21,5.48,5.43,5.48,5.42,208622973.0,689014596.0,294055293904.0
2020-07-22,5.43,5.42,5.48,5.4,258983062.0,856429964.0,294055293904.0
2020-07-23,5.4,5.38,5.42,5.35,338177527.0,1105252625.0,294055293904.0
2020-07-24,5.38,5.32,5.38,5.3,310450471.0,1007868215.0,294055293904.0
2020-07-27,5.33,5.3,5.35,5.3,181384780.0,586004785.0,294055293904.0
2020-07-28,5.32,5.32,5.35,5.3,166485812.0,538053646.0,294055293904.0
2020-07-29,5.3,5.35,5.37,5.3,201071042.0,651657711.0,294055293904.0
2020-07-30,5.33,5.32,5.35,5.3,203399995.0,657702729.0,294055293904.0
2020-07-31,5.32,5.32,5.35,5.3,219950570.0,710196694.0,294055293904.0
2020-08-03,5.33,5.33,5.33,5.3,210190867.0,679416930.0,294055293904.0
2020-08-04,5.32,5.38,5.4,5.32,398255740.0,1296351433.0,294055293904.0
2020-08-05,5.35,5.33,5.37,5.32,203689022.0,660015714.0,294055293904.0
2020-08-06,5.35,5.35,5.37,5.32,190830091.0,618619104.0,294055293904.0
2020-08-07,5.35,5.32,5.35,5.3,178201649.0,575845444.0,294055293904.0
2020-08-10,5.32,5.32,5.35,5.3,190710047.0,616734087.0,294055293904.0
2020-08-11,5.33,5.32,5.35,5.32,231982530.0,751648645.0,294055293904.0
2020-08-12,5.32,5.33,5.33,5.3,195918381.0,633499803.0,294055293904.0
2020-08-13,5.33,5.33,5.35,5.32,154615735.0,500882225.0,294055293904.0
2020-08-14,5.33,5.35,5.37,5.32,168527897.0,547064589.0,294055293904.0
2020-08-17,5.37,5.43,5.45,5.35,458069327.0,1503856805.0,294055293904.0
2020-08-18,5.42,5.38,5.43,5.37,278792146.0,911777481.0,294055293904.0
2020-08-19,5.38,5.35,5.38,5.35,198384408.0,646751427.0,294055293904.0
2020-08-20,5.35,5.33,5.35,5.32,159807213.0,517432664.0,294055293904.0
2020-08-21,5.35,5.33,5.35,5.32,142477178.0,462232655.0,294055293904.0
2020-08-24,5.35,5.32,5.35,5.32,129657506.0,419885076.0,294055293904.0
2020-08-25,5.33,5.32,5.33,5.32,110487145.0,357338243.0,294055293904.0
2020-08-26,5.33,5.32,5.33,5.3,141627305.0,457418101.0,294055293904.0
2020-08-27,5.32,5.3,5.32,5.28,194114700.0,625207071.0,294055293904.0
2020-08-28,5.3,5.32,5.33,5.28,173854818.0,560958154.0,294055293904.0
2020-08-31,5.32,5.28,5.33,5.28,228893501.0,738580712.0,294055293904.0
2020-09-01,5.28,5.28,5.3,5.27,144609423.0,464127492.0,294055293904.0
