date,open,high,low,close,volume,amount,outstanding_share,turnover,ticker
2017-11-27,25.25,30.3,25.25,30.3,10532.0,314070.0,25000000.0,0.00042128,603685
2017-11-28,33.33,33.33,33.33,33.33,3859.0,128620.0,25000000.0,0.00015436,603685
2017-11-29,36.66,36.66,36.66,36.66,18224.0,668092.0,25000000.0,0.00072896,603685
2017-11-30,40.33,40.33,40.33,40.33,94510.0,3811588.0,25000000.0,0.0037804,603685
2017-12-01,44.36,44.36,44.36,44.36,335942.0,14902387.0,25000000.0,0.01343768,603685
2017-12-04,44.39,44.39,39.92,39.92,10896613.0,448538887.0,25000000.0,0.43586452,603685
2017-12-05,38.02,39.37,36.06,36.93,8900744.0,335171365.0,25000000.0,0.35602976,603685
2017-12-06,36.6,37.86,35.75,37.33,5837643.0,214900327.0,25000000.0,0.23350572,603685
2017-12-07,36.89,37.0,35.02,35.05,5081072.0,182121581.0,25000000.0,0.20324288,603685
2017-12-08,34.7,36.37,34.34,35.36,4753087.0,169851204.0,25000000.0,0.19012348,603685
2017-12-11,35.34,36.1,35.02,35.54,3220225.0,114258759.0,25000000.0,0.128809,603685
2017-12-12,35.0,35.0,33.3,33.34,4647865.0,157725433.0,25000000.0,0.1859146,603685
2017-12-13,33.3,33.65,32.8,33.53,2870848.0,95627322.0,25000000.0,0.11483392,603685
2017-12-14,33.49,34.12,33.27,33.89,2896307.0,97629275.0,25000000.0,0.11585228,603685
2017-12-15,34.0,34.82,33.57,33.85,3513783.0,120195435.0,25000000.0,0.14055132,603685
2017-12-18,34.0,34.6,33.32,34.05,2344658.0,79738968.0,25000000.0,0.09378632,603685
2017-12-19,34.2,34.25,33.51,33.9,2371545.0,80450421.0,25000000.0,0.0948618,603685
2017-12-20,34.09,34.1,32.32,32.42,3107178.0,102573295.0,25000000.0,0.12428712,603685
2017-12-21,32.34,32.37,31.31,31.99,2861185.0,91274324.0,25000000.0,0.1144474,603685
2017-12-22,31.99,33.18,31.71,32.47,2756987.0,89939908.0,25000000.0,0.11027948,603685
2017-12-25,32.54,32.59,31.44,32.32,2603782.0,83133301.0,25000000.0,0.10415128,603685
2017-12-26,32.45,34.36,32.11,33.75,4440218.0,148221136.0,25000000.0,0.17760872,603685
2017-12-27,33.85,35.62,33.58,34.51,6226400.0,215340629.0,25000000.0,0.249056,603685
2017-12-28,34.05,36.57,34.0,36.25,7216101.0,256283393.0,25000000.0,0.28864404,603685
