代码,名称,行业,alpha(年化),alpha_p,beta,beta_95CI,R2
603685,晨丰科技,电气设备,0.122,0.403,0.5706,"[0.475,0.666]",0.0814
603319,美湖股份,化工,0.2213,0.2368,0.9353,"[0.812,1.058]",0.1262
600519,贵州茅台,食品饮料,0.0218,0.78,0.8913,"[0.840,0.943]",0.4301
601288,农业银行,银行,0.078,0.0873,0.125,"[0.095,0.155]",0.0416
601166,兴业银行,银行,0.0008,0.9911,0.5224,"[0.478,0.567]",0.2552
600048,保利发展,房地产,-0.1039,0.2836,0.6206,"[0.557,0.684]",0.1915
000568,泸州老窖,食品饮料,0.0152,0.8941,1.2303,"[1.155,1.305]",0.402
002179,中航光电,国防军工,0.0893,0.4869,0.7733,"[0.689,0.858]",0.1733
300510,金冠股份,电气设备,-0.1199,0.547,1.095,"[0.964,1.226]",0.1487
000988,华工科技,电子,0.3061,0.0667,1.2087,"[1.099,1.318]",0.2326
