股票,行业,年化均值,年化波动率,偏度,峰度,最大回撤
泸州老祖(000568),食品饮料,0.0349,0.4078,0.1663,2.3988,-0.7747
华工科技(000988),电子,0.3323,0.4712,0.2382,1.5737,-0.5420
中航光电(002179),国防军工,0.1154,0.3588,0.1518,2.2751,-0.5220
金冠股份(300510),电气设备,-0.0943,0.5339,0.1803,5.2761,-0.7919
保利发展(600048),房地产,-0.1262,0.3611,0.5569,3.1547,-0.7422
贵州茅台(600519),食品饮料,0.0450,0.2758,0.2619,3.6370,-0.5422
兴业银行(601166),银行,0.0326,0.2535,0.1593,4.3720,-0.4536
农业银行(601288),银行,0.1512,0.1708,0.1717,4.6673,-0.2474
美湖股份(603319),化工,0.2603,0.5211,0.2182,1.3141,-0.6874
晨丰科技(603685),电气设备,0.1542,0.4028,0.1338,3.5813,-0.5965
